Reaction ID,Reaction Name,Equation,Compartment,minimalmodelnoaperture_pfba,minimalmodelnoaperture_max,minimalmodelnoaperture_min,minimalmodel_pfba,minimalmodel_max,minimalmodel_min
EX_X_pi_t_me_1,EX_X_pi_t_me_1,X_pi_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_me_2,EX_X_pi_t_me_2,X_pi_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_me_3,EX_X_pi_t_me_3,X_pi_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_me_4,EX_X_pi_t_me_4,X_pi_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_gc_1,EX_X_pi_t_gc_1,X_pi_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_gc_2,EX_X_pi_t_gc_2,X_pi_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_gc_3,EX_X_pi_t_gc_3,X_pi_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_gc_4,EX_X_pi_t_gc_4,X_pi_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA
EX_X_CO2_t_me_1,EX_X_CO2_t_me_1,X_CO2_t_me_1 <=> ,t_me_1,3.0434588886261507,NA,NA,3.043209385549401,NA,NA
EX_X_CO2_t_me_2,EX_X_CO2_t_me_2,X_CO2_t_me_2 <=> ,t_me_2,-110.7277060960335,NA,NA,-110.72817654099416,NA,NA
EX_X_CO2_t_me_3,EX_X_CO2_t_me_3,X_CO2_t_me_3 <=> ,t_me_3,-114.64285372286145,NA,NA,-114.64293709980517,NA,NA
EX_X_CO2_t_me_4,EX_X_CO2_t_me_4,X_CO2_t_me_4 <=> ,t_me_4,3.1016529907688875,NA,NA,3.1016002013029125,NA,NA
EX_X_CO2_t_gc_1,EX_X_CO2_t_gc_1,X_CO2_t_gc_1 <=> ,t_gc_1,0.0024850635855900925,NA,NA,0.0025012495799219903,NA,NA
EX_X_CO2_t_gc_2,EX_X_CO2_t_gc_2,X_CO2_t_gc_2 <=> ,t_gc_2,-0.0527704954128441,NA,NA,0.20303064630675868,NA,NA
EX_X_CO2_t_gc_3,EX_X_CO2_t_gc_3,X_CO2_t_gc_3 <=> ,t_gc_3,-0.05277049541806779,NA,NA,-0.05373532823609335,NA,NA
EX_X_CO2_t_gc_4,EX_X_CO2_t_gc_4,X_CO2_t_gc_4 <=> ,t_gc_4,0.0025391363245001433,NA,NA,0.0025012494816864265,NA,NA
EX_X_Mg_t_me_1,EX_X_Mg_t_me_1,X_Mg_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_me_2,EX_X_Mg_t_me_2,X_Mg_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_me_3,EX_X_Mg_t_me_3,X_Mg_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_me_4,EX_X_Mg_t_me_4,X_Mg_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_gc_1,EX_X_Mg_t_gc_1,X_Mg_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_gc_2,EX_X_Mg_t_gc_2,X_Mg_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_gc_3,EX_X_Mg_t_gc_3,X_Mg_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_gc_4,EX_X_Mg_t_gc_4,X_Mg_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_me_1,EX_X_SO4_t_me_1,X_SO4_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_me_2,EX_X_SO4_t_me_2,X_SO4_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_me_3,EX_X_SO4_t_me_3,X_SO4_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_me_4,EX_X_SO4_t_me_4,X_SO4_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_gc_1,EX_X_SO4_t_gc_1,X_SO4_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_gc_2,EX_X_SO4_t_gc_2,X_SO4_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_gc_3,EX_X_SO4_t_gc_3,X_SO4_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_gc_4,EX_X_SO4_t_gc_4,X_SO4_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_me_1,EX_X_GLC_t_me_1,X_GLC_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_me_2,EX_X_GLC_t_me_2,X_GLC_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_me_3,EX_X_GLC_t_me_3,X_GLC_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_me_4,EX_X_GLC_t_me_4,X_GLC_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_gc_1,EX_X_GLC_t_gc_1,X_GLC_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_gc_2,EX_X_GLC_t_gc_2,X_GLC_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_gc_3,EX_X_GLC_t_gc_3,X_GLC_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_gc_4,EX_X_GLC_t_gc_4,X_GLC_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_me_1,EX_X_NITRATE_t_me_1,X_NITRATE_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_me_2,EX_X_NITRATE_t_me_2,X_NITRATE_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_me_3,EX_X_NITRATE_t_me_3,X_NITRATE_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_me_4,EX_X_NITRATE_t_me_4,X_NITRATE_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_gc_1,EX_X_NITRATE_t_gc_1,X_NITRATE_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_gc_2,EX_X_NITRATE_t_gc_2,X_NITRATE_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_gc_3,EX_X_NITRATE_t_gc_3,X_NITRATE_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_gc_4,EX_X_NITRATE_t_gc_4,X_NITRATE_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_me_1,EX_X_Ca_t_me_1,X_Ca_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_me_2,EX_X_Ca_t_me_2,X_Ca_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_me_3,EX_X_Ca_t_me_3,X_Ca_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_me_4,EX_X_Ca_t_me_4,X_Ca_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_gc_1,EX_X_Ca_t_gc_1,X_Ca_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_gc_2,EX_X_Ca_t_gc_2,X_Ca_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_gc_3,EX_X_Ca_t_gc_3,X_Ca_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_gc_4,EX_X_Ca_t_gc_4,X_Ca_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_me_1,EX_X_H_t_me_1,X_H_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_me_2,EX_X_H_t_me_2,X_H_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_me_3,EX_X_H_t_me_3,X_H_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_me_4,EX_X_H_t_me_4,X_H_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_gc_1,EX_X_H_t_gc_1,X_H_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_gc_2,EX_X_H_t_gc_2,X_H_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_gc_3,EX_X_H_t_gc_3,X_H_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_gc_4,EX_X_H_t_gc_4,X_H_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_me_1,EX_X_NH4_t_me_1,X_NH4_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_me_2,EX_X_NH4_t_me_2,X_NH4_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_me_3,EX_X_NH4_t_me_3,X_NH4_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_me_4,EX_X_NH4_t_me_4,X_NH4_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_gc_1,EX_X_NH4_t_gc_1,X_NH4_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_gc_2,EX_X_NH4_t_gc_2,X_NH4_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_gc_3,EX_X_NH4_t_gc_3,X_NH4_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA
