,fba1,upb1,lob1
EX_X_pi_t_me_1,0.0,9715.0,-1000.0
EX_X_pi_t_me_2,0.0,9715.0,-1000.0
EX_X_pi_t_me_3,0.0,9715.0,-1000.0
EX_X_pi_t_me_4,0.0,9715.0,-1000.0
EX_X_pi_t_gc_1,0.0,9715.0,-1000.0
EX_X_pi_t_gc_2,0.0,9715.0,-1000.0
EX_X_pi_t_gc_3,0.0,9715.0,-1000.0
EX_X_pi_t_gc_4,0.0,9715.0,-1000.0
EX_X_CO2_t_me_1,3.0426853408125454,9715.0,-1000.0
EX_X_CO2_t_me_2,-110.72884015994211,9715.0,-1000.0
EX_X_CO2_t_me_3,-114.64172352931332,9715.0,-1000.0
EX_X_CO2_t_me_4,3.101525735438689,9715.0,-1000.0
EX_X_CO2_t_gc_1,0.0028194951890721754,9715.0,-1000.0
EX_X_CO2_t_gc_2,-0.27436422441091957,9715.0,-1000.0
EX_X_CO2_t_gc_3,-0.02025533769996975,9715.0,-1000.0
EX_X_CO2_t_gc_4,0.002847210455354417,9715.0,-1000.0
EX_X_Mg_t_me_1,0.0,9715.0,-1000.0
EX_X_Mg_t_me_2,0.0,9715.0,-1000.0
EX_X_Mg_t_me_3,0.0,9715.0,-1000.0
EX_X_Mg_t_me_4,0.0,9715.0,-1000.0
EX_X_Mg_t_gc_1,0.0,9715.0,-1000.0
EX_X_Mg_t_gc_2,0.0,9715.0,-1000.0
EX_X_Mg_t_gc_3,0.0,9715.0,-1000.0
EX_X_Mg_t_gc_4,0.0,9715.0,-1000.0
EX_X_SO4_t_me_1,0.0,9715.0,-1000.0
EX_X_SO4_t_me_2,0.0,9715.0,-1000.0
EX_X_SO4_t_me_3,0.0,9715.0,-1000.0
EX_X_SO4_t_me_4,0.0,9715.0,-1000.0
EX_X_SO4_t_gc_1,0.0,9715.0,-1000.0
EX_X_SO4_t_gc_2,0.0,9715.0,-1000.0
EX_X_SO4_t_gc_3,0.0,9715.0,-1000.0
EX_X_SO4_t_gc_4,0.0,9715.0,-1000.0
EX_X_GLC_t_me_1,0.0,9715.0,-1000.0
EX_X_GLC_t_me_2,0.0,9715.0,-1000.0
EX_X_GLC_t_me_3,0.0,9715.0,-1000.0
EX_X_GLC_t_me_4,0.0,9715.0,-1000.0
EX_X_GLC_t_gc_1,0.0,9715.0,-1000.0
EX_X_GLC_t_gc_2,0.0,9715.0,-1000.0
EX_X_GLC_t_gc_3,0.0,9715.0,-1000.0
EX_X_GLC_t_gc_4,0.0,9715.0,-1000.0
EX_X_NITRATE_t_me_1,0.0,9715.0,-1000.0
EX_X_NITRATE_t_me_2,0.0,9715.0,-1000.0
EX_X_NITRATE_t_me_3,0.0,9715.0,-1000.0
EX_X_NITRATE_t_me_4,0.0,9715.0,-1000.0
EX_X_NITRATE_t_gc_1,0.0,9715.0,-1000.0
EX_X_NITRATE_t_gc_2,0.0,9715.0,-1000.0
EX_X_NITRATE_t_gc_3,0.0,9715.0,-1000.0
EX_X_NITRATE_t_gc_4,0.0,9715.0,-1000.0
EX_X_Ca_t_me_1,0.0,9715.0,-1000.0
EX_X_Ca_t_me_2,0.0,9715.0,-1000.0
EX_X_Ca_t_me_3,0.0,9715.0,-1000.0
EX_X_Ca_t_me_4,0.0,9715.0,-1000.0
EX_X_Ca_t_gc_1,0.0,9715.0,-1000.0
