Reaction ID,Reaction Name,Equation,Compartment,realisticmodelnoaperture_pfba,realisticmodelnoaperture_max,realisticmodelnoaperture_min,realisticmodel_pfba,realisticmodel_max,realisticmodel_min,starchknockoutmodelnoaperture_pfba,starchknockoutmodelnoaperture_max,starchknockoutmodelnoaperture_min,starchknockoutmodel_pfba,starchknockoutmodel_max,starchknockoutmodel_min
EX_X_pi_t_me_1,EX_X_pi_t_me_1,X_pi_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_me_2,EX_X_pi_t_me_2,X_pi_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_me_3,EX_X_pi_t_me_3,X_pi_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_me_4,EX_X_pi_t_me_4,X_pi_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_gc_1,EX_X_pi_t_gc_1,X_pi_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_gc_2,EX_X_pi_t_gc_2,X_pi_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_gc_3,EX_X_pi_t_gc_3,X_pi_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_pi_t_gc_4,EX_X_pi_t_gc_4,X_pi_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_CO2_t_me_1,EX_X_CO2_t_me_1,X_CO2_t_me_1 <=> ,t_me_1,3.0434588886259313,NA,NA,3.0426748724522743,NA,NA,3.043458888626173,NA,NA,3.042666999429068,NA,NA
EX_X_CO2_t_me_2,EX_X_CO2_t_me_2,X_CO2_t_me_2 <=> ,t_me_2,-110.72770609602821,NA,NA,-110.72894321512698,NA,NA,-110.72770609603148,NA,NA,-110.7290207206615,NA,NA
EX_X_CO2_t_me_3,EX_X_CO2_t_me_3,X_CO2_t_me_3 <=> ,t_me_3,-114.64285372286167,NA,NA,-114.64175369696697,NA,NA,-114.64285372286226,NA,NA,-114.64192260254715,NA,NA
EX_X_CO2_t_me_4,EX_X_CO2_t_me_4,X_CO2_t_me_4 <=> ,t_me_4,3.101652990768963,NA,NA,3.1015141714340952,NA,NA,3.101652990768846,NA,NA,3.101505474400907,NA,NA
EX_X_CO2_t_gc_1,EX_X_CO2_t_gc_1,X_CO2_t_gc_1 <=> ,t_gc_1,0.0024850635730099785,NA,NA,0.00279462845279307,NA,NA,0.0024850635545200835,NA,NA,0.0028033526036597917,NA,NA
EX_X_CO2_t_gc_2,EX_X_CO2_t_gc_2,X_CO2_t_gc_2 <=> ,t_gc_2,-0.05277049541284745,NA,NA,-0.2713682454614291,NA,NA,-0.05277049541284404,NA,NA,0.11313560584648442,NA,NA
EX_X_CO2_t_gc_3,EX_X_CO2_t_gc_3,X_CO2_t_gc_3 <=> ,t_gc_3,-0.052770495413452065,NA,NA,-0.018144744565648213,NA,NA,-0.05277049535146444,NA,NA,-0.03313055492499677,NA,NA
EX_X_CO2_t_gc_4,EX_X_CO2_t_gc_4,X_CO2_t_gc_4 <=> ,t_gc_4,0.002539136324501119,NA,NA,0.002815511660975847,NA,NA,0.0025391362252777812,NA,NA,0.0029554620994909253,NA,NA
EX_X_Mg_t_me_1,EX_X_Mg_t_me_1,X_Mg_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_me_2,EX_X_Mg_t_me_2,X_Mg_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_me_3,EX_X_Mg_t_me_3,X_Mg_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_me_4,EX_X_Mg_t_me_4,X_Mg_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_gc_1,EX_X_Mg_t_gc_1,X_Mg_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_gc_2,EX_X_Mg_t_gc_2,X_Mg_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_gc_3,EX_X_Mg_t_gc_3,X_Mg_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Mg_t_gc_4,EX_X_Mg_t_gc_4,X_Mg_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_me_1,EX_X_SO4_t_me_1,X_SO4_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_me_2,EX_X_SO4_t_me_2,X_SO4_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_me_3,EX_X_SO4_t_me_3,X_SO4_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_me_4,EX_X_SO4_t_me_4,X_SO4_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_gc_1,EX_X_SO4_t_gc_1,X_SO4_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_gc_2,EX_X_SO4_t_gc_2,X_SO4_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_SO4_t_gc_3,EX_X_SO4_t_gc_3,X_SO4_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
